fecha,sucursal,monto_mxn,fuente
2026-06-01,CDMX,530.03,export_cdmx.csv
2026-06-01,CDMX,1326.53,export_cdmx.csv
2026-06-01,CDMX,422.17,export_cdmx.csv
2026-06-01,CDMX,765.74,export_cdmx.csv
2026-06-01,CDMX,2168.5,export_cdmx.csv
2026-06-01,CDMX,542.36,export_cdmx.csv
2026-06-01,CDMX,250.84,export_cdmx.csv
2026-06-01,Guadalajara,371.86,export_guadalajara.csv
2026-06-01,Guadalajara,1155.13,export_guadalajara.csv
2026-06-01,Guadalajara,1134.74,export_guadalajara.csv
2026-06-01,Monterrey,820.68,export_monterrey.csv
2026-06-02,CDMX,991.87,export_cdmx.csv
2026-06-02,CDMX,489.33,export_cdmx.csv
2026-06-02,CDMX,669.36,export_cdmx.csv
2026-06-02,CDMX,835.39,export_cdmx.csv
2026-06-02,CDMX,436.68,export_cdmx.csv
2026-06-02,CDMX,1267.55,export_cdmx.csv
2026-06-02,CDMX,517.77,export_cdmx.csv
2026-06-02,CDMX,207.72,export_cdmx.csv
2026-06-02,Guadalajara,234.09,export_guadalajara.csv
2026-06-02,Monterrey,1976.08,export_monterrey.csv
2026-06-02,Monterrey,937.86,export_monterrey.csv
2026-06-03,CDMX,1030.82,export_cdmx.csv
2026-06-03,CDMX,1297.18,export_cdmx.csv
2026-06-03,CDMX,660.85,export_cdmx.csv
2026-06-03,CDMX,1602.61,export_cdmx.csv
2026-06-03,CDMX,792.67,export_cdmx.csv
2026-06-03,Guadalajara,908.19,export_guadalajara.csv
2026-06-03,Guadalajara,629.15,export_guadalajara.csv
2026-06-03,Guadalajara,841.43,export_guadalajara.csv
2026-06-03,Guadalajara,200.0,export_guadalajara.csv
2026-06-03,Monterrey,529.55,export_monterrey.csv
2026-06-03,Monterrey,1120.15,export_monterrey.csv
2026-06-03,Monterrey,1196.65,export_monterrey.csv
2026-06-03,Monterrey,310.54,export_monterrey.csv
2026-06-04,CDMX,403.17,export_cdmx.csv
2026-06-04,CDMX,348.71,export_cdmx.csv
2026-06-04,CDMX,1775.32,export_cdmx.csv
2026-06-04,CDMX,724.02,export_cdmx.csv
2026-06-04,CDMX,923.76,export_cdmx.csv
2026-06-04,CDMX,994.25,export_cdmx.csv
2026-06-04,CDMX,907.48,export_cdmx.csv
2026-06-04,CDMX,1643.13,export_cdmx.csv
2026-06-04,CDMX,698.81,export_cdmx.csv
2026-06-04,Guadalajara,1035.14,export_guadalajara.csv
2026-06-04,Guadalajara,843.67,export_guadalajara.csv
2026-06-04,Monterrey,523.23,export_monterrey.csv
2026-06-04,Monterrey,327.16,export_monterrey.csv
2026-06-04,Monterrey,273.81,export_monterrey.csv
2026-06-04,Monterrey,200.0,export_monterrey.csv
2026-06-05,CDMX,4990.67,export_cdmx.csv
2026-06-05,CDMX,661.79,export_cdmx.csv
2026-06-05,CDMX,1425.97,export_cdmx.csv
2026-06-05,CDMX,539.97,export_cdmx.csv
2026-06-05,CDMX,762.56,export_cdmx.csv
2026-06-05,CDMX,1286.48,export_cdmx.csv
2026-06-05,CDMX,1292.89,export_cdmx.csv
2026-06-05,Guadalajara,903.86,export_guadalajara.csv
2026-06-05,Monterrey,2412.54,export_monterrey.csv
2026-06-05,Monterrey,204.37,export_monterrey.csv
2026-06-05,Monterrey,2061.68,export_monterrey.csv
