fecha,source,table,chequeos,n_pass,n_warn,n_error,max_age_h,pct_cumplimiento,dia_parcial
2026-08-23,ads,marketing_gasto,24,24,0,0,45.45,100.0,False
2026-08-24,ads,marketing_gasto,24,24,0,0,29.28,100.0,False
2026-08-25,ads,marketing_gasto,24,24,0,0,40.28,100.0,False
2026-08-26,ads,marketing_gasto,24,24,0,0,33.21,100.0,False
2026-08-27,ads,marketing_gasto,24,24,0,0,19.77,100.0,False
2026-08-28,ads,marketing_gasto,24,24,0,0,25.68,100.0,False
2026-08-29,ads,marketing_gasto,24,24,0,0,28.66,100.0,False
2026-08-30,ads,marketing_gasto,24,19,5,0,52.66,79.2,False
2026-08-31,ads,marketing_gasto,24,0,24,0,76.66,0.0,False
2026-09-01,ads,marketing_gasto,24,0,19,5,100.66,0.0,False
2026-09-02,ads,marketing_gasto,24,0,0,24,124.66,0.0,False
2026-09-03,ads,marketing_gasto,24,24,0,0,23.79,100.0,False
2026-09-04,ads,marketing_gasto,24,24,0,0,47.79,100.0,False
2026-09-05,ads,marketing_gasto,24,0,24,0,71.79,0.0,False
2026-09-06,ads,marketing_gasto,24,0,24,0,95.79,0.0,False
2026-09-07,ads,marketing_gasto,24,4,0,20,115.79,16.7,False
2026-09-08,ads,marketing_gasto,24,24,0,0,27.11,100.0,False
2026-09-09,ads,marketing_gasto,24,24,0,0,47.11,100.0,False
2026-09-10,ads,marketing_gasto,24,24,0,0,27.88,100.0,False
2026-09-11,ads,marketing_gasto,24,22,2,0,49.88,91.7,False
2026-09-12,ads,marketing_gasto,24,24,0,0,24.67,100.0,False
2026-09-13,ads,marketing_gasto,24,24,0,0,24.99,100.0,False
2026-09-14,ads,marketing_gasto,24,24,0,0,43.99,100.0,False
2026-09-15,ads,marketing_gasto,24,24,0,0,28.97,100.0,False
2026-09-16,ads,marketing_gasto,24,21,3,0,50.97,87.5,False
2026-09-17,ads,marketing_gasto,24,24,0,0,15.95,100.0,False
2026-09-18,ads,marketing_gasto,24,24,0,0,33.0,100.0,False
2026-09-19,ads,marketing_gasto,24,14,10,0,57.0,58.3,False
2026-09-20,ads,marketing_gasto,24,0,24,0,81.0,0.0,False
2026-09-21,ads,marketing_gasto,20,0,14,6,101.0,0.0,True
2026-08-23,crm,cancelacion,24,24,0,0,3.85,100.0,False
2026-08-24,crm,cancelacion,24,24,0,0,3.94,100.0,False
2026-08-25,crm,cancelacion,24,24,0,0,3.96,100.0,False
2026-08-26,crm,cancelacion,24,24,0,0,3.92,100.0,False
2026-08-27,crm,cancelacion,24,24,0,0,3.9,100.0,False
